City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Uva,RU,56.99,52.19,34.0,79,100,10.83,overcast clouds
152,Caucaia,BR,-3.74,-38.65,87.8,62,40,16.11,scattered clouds
153,Baykit,RU,61.67,96.37,31.1,95,83,9.86,broken clouds
154,Bluff,NZ,-46.6,168.33,45.99,83,2,7.09,clear sky
155,Bulgan,MN,48.81,103.53,32.65,83,0,3.6,clear sky
156,Kavieng,PG,-2.57,150.8,81.41,77,29,4.76,moderate rain
157,Aksu,CN,41.12,80.26,43.9,49,100,2.66,overcast clouds
158,Uray,RU,60.12,64.78,29.77,95,97,7.38,overcast clouds
159,Bonito,BR,-21.12,-56.48,97.88,32,70,10.29,light rain
160,Geraldton,AU,-28.77,114.6,62.6,63,40,18.34,scattered clouds
161,Hambantota,LK,6.12,81.12,81.18,79,88,7.25,light rain
162,Qaqortoq,GL,60.72,-46.03,30.2,80,75,2.93,shower rain
163,Touros,BR,-5.2,-35.46,77.0,94,75,13.87,broken clouds
164,Chiredzi,ZW,-21.05,31.67,100.9,20,2,12.19,clear sky
165,Bandarbeyla,SO,9.49,50.81,77.77,83,0,17.54,clear sky
166,Lagoa,PT,39.05,-27.98,64.27,75,38,15.55,scattered clouds
167,Thompson,CA,55.74,-97.86,14.0,92,90,17.22,light snow
168,Isangel,VU,-19.55,169.27,74.34,80,75,14.47,broken clouds
169,Yulara,AU,-25.24,130.99,80.6,30,25,4.54,scattered clouds
170,Eirunepe,BR,-6.66,-69.87,90.3,55,100,3.49,overcast clouds
171,Oriximina,BR,-1.77,-55.87,93.87,42,88,5.21,overcast clouds
172,Pangai,TO,-19.8,-174.35,76.06,85,11,15.99,light rain
173,Provideniya,RU,64.38,-173.3,32.32,97,100,30.31,overcast clouds
174,Shaowu,CN,27.34,117.48,53.87,66,0,0.96,clear sky
175,Marovoay,MG,-16.1,46.63,89.6,49,20,12.75,few clouds
176,Bulolo,PG,-7.2,146.65,70.3,78,74,0.92,light rain
177,Poya,NC,-21.35,165.15,69.78,74,69,9.71,broken clouds
178,Husavik,IS,66.04,-17.34,42.8,75,40,9.17,scattered clouds
179,Mayo,US,38.89,-76.51,66.99,93,1,2.84,clear sky
180,Port Elizabeth,ZA,-33.92,25.57,60.8,72,20,16.11,few clouds
181,Hami,CN,42.8,93.45,39.63,59,3,4.07,clear sky
182,Huarmey,PE,-10.07,-78.15,68.56,63,97,8.16,overcast clouds
183,Guasave,MX,25.57,-108.45,73.99,84,0,1.99,clear sky
184,Iquique,CL,-20.22,-70.14,66.2,59,75,8.05,broken clouds
185,Abu Kamal,SY,34.45,40.92,74.5,41,100,3.67,light rain
186,Meihekou,CN,42.53,125.68,21.92,79,0,2.01,clear sky
187,Saint George,US,37.1,-113.58,37.99,93,90,6.93,overcast clouds
188,Hailar,CN,49.2,119.7,22.39,97,55,10.09,broken clouds
189,Oktyabrsk,KZ,49.47,57.42,35.49,81,0,11.74,clear sky
190,Tahe,CN,52.33,124.73,9.25,90,76,3.04,broken clouds
191,Namatanai,PG,-3.67,152.43,80.67,76,98,3.83,overcast clouds
192,Adrar,MR,20.5,-10.07,93.61,10,0,11.83,clear sky
193,Goderich,CA,43.75,-81.72,62.6,55,69,8.05,broken clouds
194,Narrabri,AU,-30.32,149.78,62.6,51,0,13.87,clear sky
195,Basoko,CD,1.24,23.62,76.24,91,66,5.28,moderate rain
196,Otradnoye,RU,59.78,30.82,42.01,82,10,3.0,clear sky
197,Palmer,US,42.16,-72.33,63.0,100,20,2.68,few clouds
198,North Platte,US,41.12,-100.77,32.0,77,90,18.34,overcast clouds
199,Dawei,MM,14.08,98.2,74.98,78,0,8.84,clear sky
200,Savantvadi,IN,15.9,73.82,82.4,78,20,6.93,mist
201,Ocos,GT,14.51,-92.19,77.0,100,75,3.78,broken clouds
202,Puerto Padre,CU,21.2,-76.6,84.2,79,20,12.75,few clouds
203,Kerman,IR,30.28,57.08,64.4,15,0,6.93,clear sky
204,Cayenne,GF,4.93,-52.33,89.6,59,75,10.29,broken clouds
205,Wadi Musa,JO,30.32,35.48,61.72,48,0,4.68,clear sky
206,Dikson,RU,73.51,80.55,5.4,94,100,9.91,overcast clouds
207,Flin Flon,CA,54.77,-101.86,10.4,85,90,16.11,light snow
208,Moree,AU,-29.47,149.85,69.8,40,23,16.11,few clouds
209,Coquimbo,CL,-29.95,-71.34,57.2,82,75,9.17,broken clouds
210,Mogok,MM,22.92,96.5,60.4,96,0,2.1,clear sky
211,Lasa,IT,46.62,10.7,55.4,50,5,3.36,clear sky
212,Aswan,EG,24.09,32.91,77.58,24,0,5.5,clear sky
213,Solnechnyy,RU,50.72,136.63,11.37,87,98,2.93,overcast clouds
214,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,90,13.87,overcast clouds
215,Ouargaye,BF,11.5,0.06,94.86,14,99,8.32,overcast clouds
216,Tautira,PF,-17.73,-149.15,73.4,94,75,17.22,moderate rain
217,Kardailovo,RU,51.54,53.9,35.65,82,79,6.91,broken clouds
218,Ayr,GB,55.46,-4.63,59.0,82,40,5.82,scattered clouds
219,Hanyang,CN,32.14,105.51,63.0,81,100,2.1,overcast clouds
220,Boffa,GN,10.17,-14.03,86.54,67,80,5.44,light rain
221,Fernley,US,39.61,-119.25,26.6,68,75,6.04,broken clouds
222,Cody,US,44.53,-109.06,18.0,78,90,3.36,overcast clouds
223,Gorgan,IR,36.84,54.43,57.2,82,0,6.93,clear sky
224,Cidreira,BR,-30.18,-50.21,68.14,88,100,17.47,light rain
225,Olafsvik,IS,64.89,-23.71,43.09,88,100,22.03,light rain
226,Tiksi,RU,71.69,128.87,-8.73,85,0,4.88,clear sky
227,Owo,NG,7.2,5.59,91.71,38,88,1.66,overcast clouds
228,Mount Gambier,AU,-37.83,140.77,66.2,63,0,8.05,clear sky
229,Zhuhai,CN,22.28,113.57,77.0,73,0,11.41,light rain
230,At-Bashi,KG,41.17,75.81,33.37,80,40,0.65,scattered clouds
231,Ambo,PE,-10.13,-76.2,73.4,43,20,2.24,haze
232,Vredendal,ZA,-31.67,18.5,67.89,34,0,24.7,clear sky
233,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,19.4,73,100,6.71,overcast clouds
234,Smolenka,RU,52.14,113.5,17.6,92,0,0.81,clear sky
235,Soubre,CI,5.79,-6.61,88.03,56,77,1.77,light rain
236,Paragominas,BR,-2.97,-47.48,88.34,59,97,5.64,overcast clouds
237,Haines Junction,CA,60.75,-137.51,26.6,79,82,2.24,snow
238,Vao,NC,-22.67,167.48,70.79,68,49,14.23,scattered clouds
239,Kivsharivka,UA,49.62,37.7,50.52,63,99,3.87,light rain
240,Khadyzhensk,RU,44.43,39.53,51.44,73,0,2.19,clear sky
241,Cartagena,CO,10.4,-75.51,86.0,79,20,3.36,few clouds
242,Port Alfred,ZA,-33.59,26.89,62.15,68,100,15.41,light rain
243,Qaanaaq,GL,77.48,-69.36,-7.06,71,0,7.09,clear sky
244,Vidalia,US,32.22,-82.41,73.4,73,90,9.17,overcast clouds
245,Poum,NC,-20.23,164.02,74.1,79,86,13.91,light rain
246,Pyinmana,MM,19.73,96.22,71.69,91,1,3.22,clear sky
247,Dickinson,US,29.46,-95.05,75.0,88,90,8.05,overcast clouds
248,Togur,RU,58.36,82.83,34.18,91,100,15.82,overcast clouds
249,Matamoros,MX,25.53,-103.25,62.6,39,5,0.63,clear sky
250,Baghdad,IQ,33.34,44.4,69.8,68,75,12.75,light rain
251,Anadyr,RU,64.75,177.48,23.0,100,40,6.71,scattered clouds
252,Sitka,US,57.05,-135.33,44.6,81,90,3.36,overcast clouds
253,Upernavik,GL,72.79,-56.15,-0.71,81,100,10.65,overcast clouds
254,Ponta Do Sol,PT,32.67,-17.1,68.0,60,40,10.29,scattered clouds
255,Moose Factory,CA,51.26,-80.61,55.4,93,1,12.75,clear sky
256,Bloemhof,ZA,-27.65,25.61,87.82,21,98,11.9,overcast clouds
257,Te Anau,NZ,-45.42,167.72,41.27,91,19,2.33,few clouds
258,Warri,NG,5.52,5.75,84.4,74,95,6.98,moderate rain
259,Chumikan,RU,54.72,135.31,3.04,90,2,16.93,clear sky
260,Port Lincoln,AU,-34.73,135.87,72.81,44,0,21.23,clear sky
261,Severka,RU,56.87,60.3,32.0,96,40,15.66,scattered clouds
262,Foumbot,CM,5.51,10.64,78.76,57,50,4.83,scattered clouds
263,Kosh-Agach,RU,50.0,88.67,18.3,86,0,5.64,clear sky
264,Port-Gentil,GA,-0.72,8.78,84.2,74,75,12.75,broken clouds
265,Beasain,ES,43.05,-2.2,70.0,62,3,1.01,clear sky
266,Broken Hill,AU,-31.95,141.43,78.8,26,40,11.41,scattered clouds
267,Diphu,IN,25.83,93.43,64.78,90,0,1.45,clear sky
268,Baturaja,ID,-4.13,104.17,75.88,91,100,0.94,overcast clouds
269,Ler,SS,8.3,30.14,86.04,36,4,2.33,clear sky
270,Korla,CN,41.76,86.15,42.08,53,100,2.93,overcast clouds
271,Abilene,US,32.45,-99.73,68.0,88,1,19.46,clear sky
272,Mosquera,CO,4.71,-74.23,55.4,82,75,9.17,light intensity drizzle
273,Xai-Xai,MZ,-25.05,33.64,81.12,72,68,13.06,broken clouds
274,Bengkulu,ID,-3.8,102.27,76.59,85,100,4.5,overcast clouds
275,Chernyshevskiy,RU,63.01,112.47,30.42,99,100,8.28,overcast clouds
276,Korcula,HR,42.96,17.14,69.8,30,0,2.24,clear sky
277,Alto Araguaia,BR,-17.31,-53.22,90.84,39,100,9.93,overcast clouds
278,Tuscaloosa,US,33.21,-87.57,72.0,88,90,6.93,overcast clouds
279,Thunder Bay,CA,48.4,-89.32,62.6,82,75,12.75,shower rain
280,Sitges,ES,41.24,1.81,69.01,67,99,1.99,overcast clouds
281,Sioux Lookout,CA,50.1,-91.92,42.8,70,75,14.99,broken clouds
282,Atambua,ID,-9.11,124.89,76.66,82,100,3.96,overcast clouds
283,Agirish,RU,61.92,63.02,27.61,94,90,8.43,overcast clouds
284,Kahului,US,20.89,-156.47,73.0,78,1,3.36,clear sky
285,Girau Do Ponciano,BR,-9.88,-36.83,87.15,53,47,14.58,scattered clouds
286,Lufilufi,WS,-13.87,-171.6,75.2,94,75,6.93,broken clouds
